"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"LW","Alex Ovechkin",9300,"Cls@Was 07:00PM ET",5.929,"Was"
"G","Carey Price",8500,"Mon@Cgy 09:00PM ET",6.667,"Mon"
"LW","Zach Parise",8000,"Chi@Min 08:00PM ET",4.778,"Min"
"G","Braden Holtby",8000,"Cls@Was 07:00PM ET",4.543,"Was"
"G","Henrik Lundqvist",7900,"Tor@NYR 07:00PM ET",5.900,"NYR"
"RW","Patrick Kane",7800,"Chi@Min 08:00PM ET",5.100,"Chi"
"G","Corey Crawford",7700,"Chi@Min 08:00PM ET",6.125,"Chi"
"LW","Max Pacioretty",7700,"Mon@Cgy 09:00PM ET",4.773,"Mon"
"G","Antti Raanta",7600,"Tor@NYR 07:00PM ET",7.900,"NYR"
"G","Roberto Luongo",7500,"Bos@Fla 07:30PM ET",5.686,"Fla"
"G","Tuukka Rask",7400,"Bos@Fla 07:30PM ET",2.767,"Bos"
"G","Ryan Miller",7300,"Van@Ari 10:00PM ET",4.480,"Van"
"G","Devan Dubnyk",7200,"Chi@Min 08:00PM ET",4.550,"Min"
"G","Mike Condon",7200,"Mon@Cgy 09:00PM ET",6.900,"Mon"
"C","Nathan MacKinnon",7200,"Col@Car 07:00PM ET",4.944,"Col"
"G","Semyon Varlamov",7100,"Col@Car 07:00PM ET",2.933,"Col"
"G","Andrew Hammond",7100,"Ott@Det 07:30PM ET",1.600,"Ott"
"C","Henrik Zetterberg",7000,"Ott@Det 07:30PM ET",3.778,"Det"
"G","Craig Anderson",7000,"Ott@Det 07:30PM ET",4.943,"Ott"
"G","Jimmy Howard",7000,"Ott@Det 07:30PM ET",4.200,"Det"
"G","Petr Mrazek",7000,"Ott@Det 07:30PM ET",5.160,"Det"
"LW","Rick Nash",6900,"Tor@NYR 07:00PM ET",2.300,"NYR"
"G","Steve Mason",6900,"Phi@Buf 07:00PM ET",3.171,"Phi"
"LW","Gabriel Landeskog",6900,"Col@Car 07:00PM ET",3.889,"Col"
"G","Scott Darling",6900,"Chi@Min 08:00PM ET",3.800,"Chi"
"C","Claude Giroux",6800,"Phi@Buf 07:00PM ET",3.244,"Phi"
"D","Erik Karlsson",6800,"Ott@Det 07:30PM ET",3.833,"Ott"
"G","Sergei Bobrovsky",6800,"Cls@Was 07:00PM ET",1.750,"Cls"
"G","Philipp Grubauer",6800,"Cls@Was 07:00PM ET",2.800,"Was"
"G","Al Montoya",6700,"Bos@Fla 07:30PM ET",7.000,"Fla"
"C","Nicklas Backstrom",6700,"Cls@Was 07:00PM ET",5.100,"Was"
"G","Jonas Hiller",6700,"Mon@Cgy 09:00PM ET",1.657,"Cgy"
"G","Darcy Kuemper",6700,"Chi@Min 08:00PM ET",1.900,"Min"
"G","Curtis McElhinney",6600,"Cls@Was 07:00PM ET",1.467,"Cls"
"LW","James van Riemsdyk",6500,"Tor@NYR 07:00PM ET",3.500,"Tor"
"RW","Jakub Voracek",6500,"Phi@Buf 07:00PM ET",3.278,"Phi"
"LW","Daniel Sedin",6400,"Van@Ari 10:00PM ET",3.900,"Van"
"C","Jonathan Toews",6400,"Chi@Min 08:00PM ET",2.850,"Chi"
"D","John Carlson",6400,"Cls@Was 07:00PM ET",4.563,"Was"
"G","Jonas Gustavsson",6400,"Bos@Fla 07:30PM ET",4.800,"Bos"
"G","Richard Bachman",6400,"Van@Ari 10:00PM ET",0,"Van"
"G","Eddie Lack",6400,"Col@Car 07:00PM ET",1.467,"Car"
"G","Cam Ward",6300,"Col@Car 07:00PM ET",3.450,"Car"
"C","Kyle Turris",6300,"Ott@Det 07:30PM ET",4.356,"Ott"
"G","Reto Berra",6300,"Col@Car 07:00PM ET",4.850,"Col"
"G","Jonathan Bernier",6200,"Tor@NYR 07:00PM ET",1.800,"Tor"
"G","James Reimer",6200,"Tor@NYR 07:00PM ET",2.000,"Tor"
"G","Jason LaBarbera",6100,"Phi@Buf 07:00PM ET",0,"Phi"
"G","Mike Smith",6100,"Van@Ari 10:00PM ET",4.267,"Ari"
"G","Niklas Backstrom",6100,"Chi@Min 08:00PM ET",0.000,"Min"
"G","Chad Johnson",6100,"Phi@Buf 07:00PM ET",2.444,"Buf"
"G","Joni Ortio",6100,"Mon@Cgy 09:00PM ET",1.400,"Cgy"
"LW","Johnny Gaudreau",6100,"Mon@Cgy 09:00PM ET",3.350,"Cgy"
"G","Linus Ullmark",6100,"Phi@Buf 07:00PM ET",0.800,"Buf"
"C","Tomas Plekanec",6000,"Mon@Cgy 09:00PM ET",3.864,"Mon"
"C","Patrice Bergeron",6000,"Bos@Fla 07:30PM ET",4.500,"Bos"
"D","Mark Giordano",6000,"Mon@Cgy 09:00PM ET",3.550,"Cgy"
"RW","T.J. Oshie",6000,"Cls@Was 07:00PM ET",4.313,"Was"
"D","P.K. Subban",6000,"Mon@Cgy 09:00PM ET",3.545,"Mon"
"G","Anders Lindback",6000,"Van@Ari 10:00PM ET",4.600,"Ari"
"C","Nick Bjugstad",5900,"Bos@Fla 07:30PM ET",2.944,"Fla"
"RW","Mark Stone",5800,"Ott@Det 07:30PM ET",3.556,"Ott"
"RW","Jaromir Jagr",5700,"Bos@Fla 07:30PM ET",4.222,"Fla"
"RW","Radim Vrbata",5700,"Van@Ari 10:00PM ET",3.170,"Van"
"C","David Krejci",5700,"Bos@Fla 07:30PM ET",6.188,"Bos"
"C","Sean Monahan",5700,"Mon@Cgy 09:00PM ET",2.350,"Cgy"
"RW","Marian Hossa",5600,"Chi@Min 08:00PM ET",2.550,"Chi"
"RW","Jason Pominville",5600,"Chi@Min 08:00PM ET",2.444,"Min"
"C","Eric Staal",5600,"Col@Car 07:00PM ET",3.050,"Car"
"C","Evgeny Kuznetsov",5600,"Cls@Was 07:00PM ET",5.063,"Was"
"D","Justin Faulk",5600,"Col@Car 07:00PM ET",3.950,"Car"
"LW","Nick Foligno",5500,"Cls@Was 07:00PM ET",2.750,"Cls"
"C","Ryan Johansen",5500,"Cls@Was 07:00PM ET",3.188,"Cls"
"LW","Brandon Saad",5500,"Cls@Was 07:00PM ET",2.400,"Cls"
"D","Torey Krug",5500,"Bos@Fla 07:30PM ET",3.750,"Bos"
"D","Ryan Suter",5400,"Chi@Min 08:00PM ET",4.278,"Min"
"RW","Wayne Simmonds",5400,"Phi@Buf 07:00PM ET",2.389,"Phi"
"C","Derek Stepan",5400,"Tor@NYR 07:00PM ET",2.920,"NYR"
"RW","Brendan Gallagher",5400,"Mon@Cgy 09:00PM ET",4.000,"Mon"
"LW","Jonathan Huberdeau",5400,"Bos@Fla 07:30PM ET",1.833,"Fla"
"RW","Jiri Hudler",5200,"Mon@Cgy 09:00PM ET",3.200,"Cgy"
"C","Jussi Jokinen",5200,"Bos@Fla 07:30PM ET",3.167,"Fla"
"RW","Bobby Ryan",5200,"Ott@Det 07:30PM ET",3.067,"Ott"
"RW","Gustav Nyquist",5200,"Ott@Det 07:30PM ET",3.056,"Det"
"C","Aleksander Barkov",5200,"Bos@Fla 07:30PM ET",3.000,"Fla"
