"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Steven Stamkos",7500,"TB@Car 05:00PM ET",2.833,"TB"
"G","Ben Bishop",7400,"TB@Car 05:00PM ET",4.127,"TB"
"G","Martin Jones",7300,"SJ@Col 03:00PM ET",5.900,"SJ"
"C","Nathan MacKinnon",7300,"SJ@Col 03:00PM ET",4.800,"Col"
"C","Joe Pavelski",7100,"SJ@Col 03:00PM ET",4.570,"SJ"
"G","Semyon Varlamov",7000,"SJ@Col 03:00PM ET",2.743,"Col"
"LW","Gabriel Landeskog",7000,"SJ@Col 03:00PM ET",4.000,"Col"
"G","Alex Stalock",6500,"SJ@Col 03:00PM ET",1.300,"SJ"
"G","Cam Ward",6400,"TB@Car 05:00PM ET",3.844,"Car"
"G","Eddie Lack",6300,"TB@Car 05:00PM ET",1.467,"Car"
"G","Reto Berra",6300,"SJ@Col 03:00PM ET",4.850,"Col"
"D","Brent Burns",6200,"SJ@Col 03:00PM ET",4.170,"SJ"
"G","Kristers Gudlevskis",6100,"TB@Car 05:00PM ET",5.200,"TB"
"LW","Patrick Marleau",5900,"SJ@Col 03:00PM ET",3.100,"SJ"
"D","Justin Faulk",5600,"TB@Car 05:00PM ET",4.000,"Car"
"C","Tyler Johnson",5600,"TB@Car 05:00PM ET",2.208,"TB"
"C","Eric Staal",5500,"TB@Car 05:00PM ET",2.864,"Car"
"RW","Ryan Callahan",5400,"TB@Car 05:00PM ET",2.208,"TB"
"RW","Nikita Kucherov",5400,"TB@Car 05:00PM ET",2.208,"TB"
"D","Victor Hedman",5100,"TB@Car 05:00PM ET",3.125,"TB"
"RW","Jarome Iginla",5000,"SJ@Col 03:00PM ET",3.100,"Col"
"C","Joe Thornton",5000,"SJ@Col 03:00PM ET",2.800,"SJ"
"C","Matt Duchene",5000,"SJ@Col 03:00PM ET",1.750,"Col"
"D","Francois Beauchemin",4800,"SJ@Col 03:00PM ET",3.950,"Col"
"D","Erik Johnson",4600,"SJ@Col 03:00PM ET",3.050,"Col"
"D","Tyson Barrie",4600,"SJ@Col 03:00PM ET",2.000,"Col"
"LW","Ondrej Palat",4600,"TB@Car 05:00PM ET",2.375,"TB"
"D","Anton Stralman",4500,"TB@Car 05:00PM ET",2.042,"TB"
"D","Jason Garrison",4500,"TB@Car 05:00PM ET",2.625,"TB"
"LW","Jeff Skinner",4500,"TB@Car 05:00PM ET",2.045,"Car"
"LW","Tomas Hertl",4500,"SJ@Col 03:00PM ET",2.750,"SJ"
"LW","Jonathan Drouin",4500,"TB@Car 05:00PM ET",1.636,"TB"
"C","Victor Rask",4300,"TB@Car 05:00PM ET",2.682,"Car"
"C","Carl Soderberg",4200,"SJ@Col 03:00PM ET",2.350,"Col"
"RW","Kris Versteeg",4200,"TB@Car 05:00PM ET",2.500,"Car"
"RW","Joel Ward",4200,"SJ@Col 03:00PM ET",3.800,"SJ"
"LW","Alex Tanguay",4100,"SJ@Col 03:00PM ET",2.150,"Col"
"RW","Tommy Wingels",4000,"SJ@Col 03:00PM ET",2.550,"SJ"
"LW","Alex Killorn",4000,"TB@Car 05:00PM ET",1.750,"TB"
"D","Marc-Edouard Vlasic",3800,"SJ@Col 03:00PM ET",2.350,"SJ"
"C","Jordan Staal",3800,"TB@Car 05:00PM ET",1.227,"Car"
"C","Elias Lindholm",3700,"TB@Car 05:00PM ET",1.364,"Car"
"LW","Matt Nieto",3600,"SJ@Col 03:00PM ET",2.250,"SJ"
"C","John Mitchell",3400,"SJ@Col 03:00PM ET",2.400,"Col"
"C","Valtteri Filppula",3400,"TB@Car 05:00PM ET",1.417,"TB"
"LW","Nathan Gerbe",3400,"TB@Car 05:00PM ET",1.591,"Car"
"D","Noah Hanifin",3100,"TB@Car 05:00PM ET",1.350,"Car"
"D","Justin Braun",3000,"SJ@Col 03:00PM ET",1.850,"SJ"
"RW","Dennis Everberg",3000,"SJ@Col 03:00PM ET",0.625,"Col"
"D","John-Michael Liles",2900,"TB@Car 05:00PM ET",1.545,"Car"
"LW","Blake Comeau",2900,"SJ@Col 03:00PM ET",1.450,"Col"
"D","Nick Holden",2900,"SJ@Col 03:00PM ET",2.350,"Col"
"D","Ryan Murphy",2900,"TB@Car 05:00PM ET",1.818,"Car"
"D","Paul Martin",2800,"SJ@Col 03:00PM ET",1.167,"SJ"
"C","Brian Boyle",2800,"TB@Car 05:00PM ET",1.900,"TB"
"D","Matthew Carle",2800,"TB@Car 05:00PM ET",1.409,"TB"
"RW","Erik Condra",2800,"TB@Car 05:00PM ET",1.708,"TB"
"C","Chris Tierney",2800,"SJ@Col 03:00PM ET",1.850,"SJ"
"D","Ron Hainsey",2700,"TB@Car 05:00PM ET",2.182,"Car"
"RW","Jack Skille",2700,"SJ@Col 03:00PM ET",1.800,"Col"
"C","Riley Nash",2700,"TB@Car 05:00PM ET",1.500,"Car"
"D","Braydon Coburn",2600,"TB@Car 05:00PM ET",1.750,"TB"
"D","Brenden Dillon",2600,"SJ@Col 03:00PM ET",1.300,"SJ"
"C","Vladislav Namestnikov",2600,"TB@Car 05:00PM ET",1.750,"TB"
"C","Mikhail Grigorenko",2600,"SJ@Col 03:00PM ET",0.778,"Col"
"D","Brett Pesce",2600,"TB@Car 05:00PM ET",1.000,"Car"
"D","Brad Stuart",2500,"SJ@Col 03:00PM ET",0.100,"Col"
"C","Jay McClement",2500,"TB@Car 05:00PM ET",1.045,"Car"
"D","Nate Guenin",2500,"SJ@Col 03:00PM ET",1.056,"Col"
"RW","Mike Brown",2500,"SJ@Col 03:00PM ET",0.850,"SJ"
"LW","Cody McLeod",2500,"SJ@Col 03:00PM ET",0.850,"Col"
"LW","Bryan Lerg",2500,"SJ@Col 03:00PM ET",0.500,"SJ"
"LW","Chris Terry",2500,"TB@Car 05:00PM ET",1.091,"Car"
"D","Michal Jordan",2500,"TB@Car 05:00PM ET",1.000,"Car"
"RW","Ben Smith",2500,"SJ@Col 03:00PM ET",0.200,"SJ"
"D","Brandon Gormley",2500,"SJ@Col 03:00PM ET",0.500,"Col"
"LW","Joakim Nordstrom",2500,"TB@Car 05:00PM ET",0.500,"Car"
"RW","Joonas Donskoi",2500,"SJ@Col 03:00PM ET",1.214,"SJ"
"C","Brad Malone",2500,"TB@Car 05:00PM ET",0.778,"Car"
"C","Andrej Nestrasil",2500,"TB@Car 05:00PM ET",0.750,"Car"
"D","Nikita Nesterov",2500,"TB@Car 05:00PM ET",0.571,"TB"
"D","Dylan DeMelo",2500,"SJ@Col 03:00PM ET",1.000,"SJ"
"RW","J.T. Brown",2500,"TB@Car 05:00PM ET",1.045,"TB"
"D","Matt Tennyson",2500,"SJ@Col 03:00PM ET",0.900,"SJ"
"C","Jonathan Marchessault",2500,"TB@Car 05:00PM ET",0.250,"TB"
"D","Slater Koekkoek",2500,"TB@Car 05:00PM ET",0.500,"TB"
"LW","Brock McGinn",2500,"TB@Car 05:00PM ET",1.625,"Car"
"C","Cedric Paquette",2500,"TB@Car 05:00PM ET",1.833,"TB"
"D","Andrej Sustr",2500,"TB@Car 05:00PM ET",0.400,"TB"
"D","Nikita Zadorov",2500,"SJ@Col 03:00PM ET",1.100,"Col"
"RW","Barclay Goodrow",2500,"SJ@Col 03:00PM ET",0.950,"SJ"
