Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
G,Henrik Lundqvist,7900,Car@NYR 07:00PM ET,6.291,NYR
RW,Vladimir Tarasenko,7600,StL@NJ 07:00PM ET,4.846,StL
G,Antti Raanta,7600,Car@NYR 07:00PM ET,8.533,NYR
C,Nathan MacKinnon,7500,Col@Phi 07:00PM ET,5.036,Col
G,Ryan Miller,7400,Van@Cls 07:00PM ET,4.057,Van
G,Jake Allen,7400,StL@NJ 07:00PM ET,6.556,StL
G,Brian Elliott,7100,StL@NJ 07:00PM ET,3.467,StL
G,Frederik Andersen,7000,Ari@Anh 10:00PM ET,4.582,Anh
LW,Gabriel Landeskog,7000,Col@Phi 07:00PM ET,3.857,Col
LW,Rick Nash,6900,Car@NYR 07:00PM ET,2.458,NYR
RW,Corey Perry,6900,Ari@Anh 10:00PM ET,2.643,Anh
G,Cory Schneider,6900,StL@NJ 07:00PM ET,4.927,NJ
G,Semyon Varlamov,6900,Col@Phi 07:00PM ET,2.8,Col
G,Steve Mason,6800,Col@Phi 07:00PM ET,3.15,Phi
G,Sergei Bobrovsky,6800,Van@Cls 07:00PM ET,2.683,Cls
C,Ryan Getzlaf,6700,Ari@Anh 10:00PM ET,2.042,Anh
G,Curtis McElhinney,6700,Van@Cls 07:00PM ET,2.12,Cls
C,Claude Giroux,6700,Col@Phi 07:00PM ET,3.086,Phi
LW,Alexander Steen,6600,StL@NJ 07:00PM ET,4.464,StL
G,Michal Neuvirth,6600,Col@Phi 07:00PM ET,6.1,Phi
G,Anton Khudobin,6600,Ari@Anh 10:00PM ET,4.45,Anh
G,Richard Bachman,6600,Van@Cls 07:00PM ET,5.6,Van
G,Keith Kinkaid,6500,StL@NJ 07:00PM ET,2.8,NJ
LW,Daniel Sedin,6400,Van@Cls 07:00PM ET,3.7,Van
G,Cam Ward,6400,Car@NYR 07:00PM ET,3.709,Car
G,Reto Berra,6400,Col@Phi 07:00PM ET,4.72,Col
RW,Jakub Voracek,6300,Col@Phi 07:00PM ET,2.929,Phi
G,Eddie Lack,6300,Car@NYR 07:00PM ET,1.6,Car
G,Mike Smith,6200,Ari@Anh 10:00PM ET,3.55,Ari
G,Jason LaBarbera,6000,Col@Phi 07:00PM ET,0,Phi
G,Yann Danis,6000,StL@NJ 07:00PM ET,0,NJ
G,Anders Lindback,6000,Ari@Anh 10:00PM ET,3,Ari
G,Jacob Markstrom,6000,Van@Cls 07:00PM ET,0,Van
RW,Radim Vrbata,5800,Van@Cls 07:00PM ET,3.113,Van
D,Justin Faulk,5700,Car@NYR 07:00PM ET,4.036,Car
LW,Brandon Saad,5700,Van@Cls 07:00PM ET,2.7,Cls
C,Eric Staal,5600,Car@NYR 07:00PM ET,2.964,Car
RW,Wayne Simmonds,5400,Col@Phi 07:00PM ET,2.357,Phi
C,Ryan Johansen,5400,Van@Cls 07:00PM ET,2.577,Cls
RW,Jarome Iginla,5300,Col@Phi 07:00PM ET,3.464,Col
LW,Scott Hartnell,5300,Van@Cls 07:00PM ET,3.233,Cls
RW,Chris Stewart,5300,Ari@Anh 10:00PM ET,1.514,Anh
LW,Nick Foligno,5300,Van@Cls 07:00PM ET,2.4,Cls
C,Derek Stepan,5300,Car@NYR 07:00PM ET,2.8,NYR
LW,Max Domi,5300,Ari@Anh 10:00PM ET,3.385,Ari
D,Oliver Ekman-Larsson,5200,Ari@Anh 10:00PM ET,3.423,Ari
RW,Mats Zuccarello,5200,Car@NYR 07:00PM ET,3.5,NYR
LW,Mike Cammalleri,5100,StL@NJ 07:00PM ET,3.907,NJ
C,Derick Brassard,5100,Car@NYR 07:00PM ET,2.679,NYR
D,Alex Pietrangelo,5100,StL@NJ 07:00PM ET,2.893,StL
C,Matt Duchene,5100,Col@Phi 07:00PM ET,2.607,Col
D,Sami Vatanen,5100,Ari@Anh 10:00PM ET,2.393,Anh
D,Keith Yandle,5000,Car@NYR 07:00PM ET,2.429,NYR
LW,Chris Kreider,5000,Car@NYR 07:00PM ET,2.5,NYR
D,Francois Beauchemin,4900,Col@Phi 07:00PM ET,3.679,Col
C,Ryan Kesler,4900,Ari@Anh 10:00PM ET,1.857,Anh
D,Mark Streit,4900,Col@Phi 07:00PM ET,3.429,Phi
D,Tyson Barrie,4900,Col@Phi 07:00PM ET,2.727,Col
D,Kevin Shattenkirk,4800,StL@NJ 07:00PM ET,1.9,StL
C,David Backes,4700,StL@NJ 07:00PM ET,2.357,StL
D,Alexander Edler,4700,Van@Cls 07:00PM ET,3.036,Van
C,Henrik Sedin,4600,Van@Cls 07:00PM ET,2.167,Van
D,Erik Johnson,4600,Col@Phi 07:00PM ET,3.429,Col
LW,Adam Henrique,4600,StL@NJ 07:00PM ET,3.693,NJ
C,Brandon Dubinsky,4500,Van@Cls 07:00PM ET,2.7,Cls
LW,Jeff Skinner,4500,Car@NYR 07:00PM ET,2.179,Car
C,Brandon Sutter,4400,Van@Cls 07:00PM ET,2.6,Van
D,Ryan McDonagh,4400,Car@NYR 07:00PM ET,2,NYR
RW,Cam Atkinson,4400,Van@Cls 07:00PM ET,2.536,Cls
RW,Jakob Silfverberg,4400,Ari@Anh 10:00PM ET,1.85,Anh
C,Victor Rask,4400,Car@NYR 07:00PM ET,3.036,Car
D,Hampus Lindholm,4400,Ari@Anh 10:00PM ET,2.679,Anh
RW,Kris Versteeg,4300,Car@NYR 07:00PM ET,2.821,Car
RW,Troy Brouwer,4300,StL@NJ 07:00PM ET,2.714,StL
C,Carl Soderberg,4200,Col@Phi 07:00PM ET,2.321,Col
RW,Kevin Hayes,4200,Car@NYR 07:00PM ET,3.071,NYR
C,Martin Hanzal,4100,Ari@Anh 10:00PM ET,3.318,Ari
C,Brayden Schenn,4100,Col@Phi 07:00PM ET,2.538,Phi
RW,Tobias Rieder,4100,Ari@Anh 10:00PM ET,3.077,Ari
C,Jordan Staal,4000,Car@NYR 07:00PM ET,2.179,Car
LW,Mikkel Boedker,4000,Ari@Anh 10:00PM ET,3.115,Ari
RW,Kyle Palmieri,4000,StL@NJ 07:00PM ET,3.714,NJ
D,Colton Parayko,4000,StL@NJ 07:00PM ET,4.179,StL
LW,Anthony Duclair,4000,Ari@Anh 10:00PM ET,2.423,Ari
LW,Chris Higgins,3900,Van@Cls 07:00PM ET,2.833,Van
C,Jori Lehtera,3900,StL@NJ 07:00PM ET,2.179,StL
C,Boone Jenner,3900,Van@Cls 07:00PM ET,3.233,Cls
LW,Alex Tanguay,3800,Col@Phi 07:00PM ET,1.679,Col
D,Jack Johnson,3800,Van@Cls 07:00PM ET,1.833,Cls
C,Andrew Cogliano,3800,Ari@Anh 10:00PM ET,1.357,Anh
RW,Alexandre Burrows,3800,Van@Cls 07:00PM ET,2.147,Van
LW,Patrick Maroon,3800,Ari@Anh 10:00PM ET,1.107,Anh
D,Cam Fowler,3800,Ari@Anh 10:00PM ET,2.214,Anh
D,Kevin Bieksa,3700,Ari@Anh 10:00PM ET,1.75,Anh
C,Sam Gagner,3700,Col@Phi 07:00PM ET,1.708,Phi
D,Michael Del Zotto,3700,Col@Phi 07:00PM ET,1.679,Phi
LW,Carl Hagelin,3700,Ari@Anh 10:00PM ET,1.429,Anh
RW,Shane Doan,3600,Ari@Anh 10:00PM ET,2.346,Ari
C,Travis Zajac,3600,StL@NJ 07:00PM ET,3.269,NJ
RW,Lee Stempniak,3600,StL@NJ 07:00PM ET,3.193,NJ
LW,Michael Raffl,3600,Col@Phi 07:00PM ET,1.679,Phi
C,Elias Lindholm,3600,Car@NYR 07:00PM ET,1.286,Car
D,Michael Stone,3500,Ari@Anh 10:00PM ET,2.423,Ari
D,Christopher Tanev,3500,Van@Cls 07:00PM ET,2.25,Van
RW,Matt Read,3500,Col@Phi 07:00PM ET,2.036,Phi
LW,Martin Havlat,3400,StL@NJ 07:00PM ET,0,StL
C,Shawn Horcoff,3400,Ari@Anh 10:00PM ET,1.346,Anh
C,Antoine Vermette,3400,Ari@Anh 10:00PM ET,1.333,Ari
D,David Savard,3400,Van@Cls 07:00PM ET,2.733,Cls
C,Oscar Lindberg,3400,Car@NYR 07:00PM ET,3.25,NYR
D,Kevin Klein,3300,Car@NYR 07:00PM ET,2.393,NYR
C,John Mitchell,3300,Col@Phi 07:00PM ET,2.273,Col
LW,Nathan Gerbe,3300,Car@NYR 07:00PM ET,1.429,Car
D,Adam Larsson,3300,StL@NJ 07:00PM ET,2.071,NJ
C,J.T. Miller,3300,Car@NYR 07:00PM ET,2.107,NYR
C,Bo Horvat,3300,Van@Cls 07:00PM ET,1.867,Van
D,Jay Bouwmeester,3200,StL@NJ 07:00PM ET,2.321,StL
D,Clayton Stoner,3200,Ari@Anh 10:00PM ET,1.182,Anh
RW,Jannik Hansen,3200,Van@Cls 07:00PM ET,1.967,Van
D,Dan Boyle,3100,Car@NYR 07:00PM ET,1.25,NYR
D,Marc Staal,3100,Car@NYR 07:00PM ET,1.893,NYR
D,Andy Greene,3100,StL@NJ 07:00PM ET,1.893,NJ
D,Ryan Murray,3100,Van@Cls 07:00PM ET,2.233,Cls
D,Noah Hanifin,3100,Car@NYR 07:00PM ET,1.333,Car
C,Vincent Lecavalier,3000,Col@Phi 07:00PM ET,0.5,Phi
D,John-Michael Liles,3000,Car@NYR 07:00PM ET,1.536,Car
D,Dan Girardi,3000,Car@NYR 07:00PM ET,1.857,NYR
D,Nick Holden,3000,Col@Phi 07:00PM ET,2.357,Col
D,Radko Gudas,3000,Col@Phi 07:00PM ET,1.667,Phi
C,Sean Couturier,3000,Col@Phi 07:00PM ET,1.3,Phi
D,Ryan Murphy,3000,Car@NYR 07:00PM ET,1.75,Car
C,Rickard Rakell,3000,Ari@Anh 10:00PM ET,1.875,Anh
D,Damon Severson,3000,StL@NJ 07:00PM ET,1.885,NJ
LW,Matt Calvert,2900,Van@Cls 07:00PM ET,1.167,Cls
C,Scott Laughton,2900,Col@Phi 07:00PM ET,2.25,Phi
D,Ben Hutton,2900,Van@Cls 07:00PM ET,2.267,Van
